Site	Species	Tree_number	Diam_2015	Diam_2016	Diam_2017	Hei_2015	Hei_2016	Hei_2017
Pallerols	Abies	18	1.43	1.64	3.81	16.79	20.1	28.87
Pallerols	Abies	19	1.88	4.46	5.86	16.49	28.38	34.71
Pallerols	Abies	20	4.07	5.16	7.87	26.46	36.72	36.83
Pallerols	Pinus	21	5.76	6.12	7.59	33.65	42.24	42.57
Pallerols	Pinus	22	0.43	2.47	4.94	5.03	13.58	17.27
Pallerols	Pinus	23	2.5	2.65	3.12	12.8	25.64	32.29
Pallerols	Pinus	24	5.84	6.93	7.14	14.04	20.94	21.76
Pallerols	Pinus	25	0.37	2.01	2.36	33.4	44.23	44.56
Pallerols	Pinus	26	5.76	7.07	7.92	29.34	41.42	43.47
Pallerols	Pinus	27	0.58	3.27	4.82	34.64	45.42	51.16
Pallerols	Pinus	28	5.45	6.6	8.09	26.32	32.98	40.47
Pallerols	Pinus	29	3.92	4.43	7.2	10.66	22.52	34.77
Pallerols	Pinus	30	2.84	4.36	5.11	26.61	29.35	37.06
Pallerols	Pinus	31	4.63	7.48	9.06	4.88	15.76	18.13
Pallerols	Pinus	32	1.61	3.07	5.33	7.04	13.22	18.43
Pallerols	Pinus	33	0.82	1.85	2.1	2.94	4.46	6.3
Pallerols	Pinus	34	5.9	6.71	7.82	6.55	8.33	13.55
Pallerols	Pinus	35	3.61	3.97	6.69	2.5	8.73	14.17
Pallerols	Pinus	36	3.41	4.84	Dead	8	16.73	Dead
Pallerols	Pinus	37	3.61	5.83	6.33	30.32	37.16	42.17
Pallerols	Pinus	38	0.93	3.68	4.63	33.33	45.41	47.81
Pallerols	Pinus	39	2.33	3.77	5.18	12.53	16.07	25.16
Pallerols	Pinus	40	5.55	7.06	8.65	18.53	28.77	37.54
